,game_pk,at_bat_number,runner_id,pitcher_id,catcher_id,successful_sb,runner_sprint_speed,pitch_tempo,sb_att_rate,lead_dist_gained_opp,lead_dist_gained_att,pop_time,exchange_time,arm_strength,cs_aa_per_throw
1299,718283,69,645277,543056,668939,1,27.6,17.194000000000003,0.045977011494252866,1.8810251569999998,11.070875,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1300,716800,22,673357,665152,668939,1,28.7,16.007,0.014876033057851241,4.365183601,9.153666667000001,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1301,718298,48,592696,665152,668939,0,27.9,16.007,0.014876033057851241,4.365183601,9.153666667000001,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1302,718664,61,650402,669211,668939,0,26.4,12.558,0.010101010101010102,1.672731183,12.404000000000002,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1303,718277,76,671739,642585,668939,1,28.8,18.881,0.08163265306122447,5.166830986,14.80925,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1304,717867,68,668930,666974,668939,1,29.5,16.375,0.027210884353741496,4.161211268,10.818,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1305,717651,26,676609,502043,668939,1,29.0,17.8,0.0144,3.809917098,8.665444444,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1306,717867,58,592885,543056,668939,1,28.1,17.194000000000003,0.045977011494252866,1.8810251569999998,11.070875,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1307,718102,56,669289,657508,668939,1,26.9,14.869000000000002,0.034782608695652174,4.6637788019999995,11.829875,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1308,718029,31,664056,502043,668939,1,28.8,17.8,0.0144,3.809917098,8.665444444,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1309,718246,25,677551,680570,668939,1,27.5,14.059000000000001,0.009596928982725529,3.362128631,12.4898,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1310,717867,67,663368,666974,668939,1,30.0,16.375,0.027210884353741496,4.161211268,10.818,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1311,717018,65,687799,642585,668939,0,28.9,18.881,0.08163265306122447,5.166830986,14.80925,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1312,717708,42,643565,665152,668939,1,27.3,16.007,0.014876033057851241,4.365183601,9.153666667000001,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
